,id,cast,qpos,lons,lats,juld
0,2900129.0,128.0,1.0,104.484,-64.201,21980.86159724
1,2900129.0,129.0,1.0,104.484,-64.214,21987.8538078666
2,2900129.0,130.0,1.0,104.402,-64.136,21994.8858217597
3,2900129.0,131.0,1.0,103.579,-63.976,22001.931076407403
4,2900129.0,132.0,1.0,103.507,-63.895,22008.9414467812
5,2900129.0,133.0,1.0,103.156,-63.821,22015.96875
6,2900129.0,134.0,1.0,102.951,-63.687,22022.9884490371
7,2900129.0,135.0,1.0,102.696,-63.439,22030.1122916713
8,2900129.0,136.0,8.0,101.785468846679,-63.3459286712671,22037.107083335497
9,2900129.0,139.0,8.0,99.0554437871569,-63.0668750015083,22058.079409718503
10,2900129.0,138.0,8.0,99.966121083225,-63.1599612684447,22051.083495371
11,2900129.0,127.0,1.0,104.628,-64.188,21973.8736226559
12,2900129.0,140.0,8.0,98.1479304102911,-62.9741121393923,22065.0510185212
13,2900129.0,141.0,1.0,97.237,-62.881,22072.0488773175
14,2900129.0,142.0,1.0,96.935,-62.905,22079.0930324122
15,2900129.0,147.0,8.0,96.3191971447374,-63.1758700397135,22114.0338078737
16,2900129.0,144.0,8.0,96.6887494771517,-63.0133169529556,22093.065335646297
17,2900129.0,145.0,8.0,96.5654623545272,-63.0675466264884,22100.060671299703
18,2900129.0,146.0,8.0,96.4424612171907,-63.1216505051411,22107.039780091494
19,2900129.0,137.0,8.0,100.874957278756,-63.2528593444854,22044.1017245427
20,2900129.0,143.0,8.0,96.81151990906,-62.9593145535148,22086.099317126
21,2900129.0,109.0,8.0,107.575534535551,-63.3113173291302,21847.6947801113
22,2900129.0,125.0,1.0,104.669,-64.226,21959.828125
23,2900129.0,148.0,8.0,96.1960809605745,-63.230024523423,22121.019444445097
24,2900129.0,103.0,8.0,108.615756803206,-63.5829975861294,21805.7737384439
25,2900129.0,104.0,8.0,108.442752314963,-63.5378131046108,21812.7458333373
26,2900129.0,105.0,8.0,108.269501411553,-63.4925642655623,21819.7278587818
27,2900129.0,106.0,8.0,108.095901849776,-63.4472243655957,21826.7239351869
28,2900129.0,107.0,8.0,107.922608727727,-63.4019645000858,21833.707662046
29,2900129.0,108.0,8.0,107.749069765855,-63.3566404273114,21840.7012962699
30,2900129.0,110.0,8.0,107.402544407116,-63.2661365980374,21854.6662963033
31,2900129.0,111.0,8.0,107.229284026143,-63.2208852836845,21861.6487036943
32,2900129.0,112.0,8.0,107.055732139111,-63.1755578351789,21868.6428588033
33,2900129.0,126.0,1.0,104.492,-64.175,21966.8176620603
34,2900129.0,113.0,8.0,106.882593817262,-63.1303383996417,21875.6203472018
35,2900129.0,115.0,1.0,106.848,-63.105,21889.7866782546
36,2900129.0,116.0,1.0,106.73,-63.147,21896.789664328106
37,2900129.0,117.0,1.0,106.633,-63.222,21903.8013310432
38,2900129.0,118.0,1.0,106.636,-63.102,21910.790000021498
39,2900129.0,119.0,1.0,106.902,-63.138,21917.7973032594
40,2900129.0,120.0,1.0,106.51,-63.418,21924.8172801137
41,2900129.0,121.0,1.0,106.401,-63.646,21931.8288078904
42,2900129.0,122.0,1.0,106.353,-63.653,21938.8140740991
43,2900129.0,123.0,1.0,105.949,-63.901,21945.8210879564
44,2900129.0,124.0,1.0,105.096,-64.261,21952.815509319295
45,2900129.0,114.0,1.0,106.709,-63.085,21882.6161921024
46,2900129.0,149.0,8.0,96.0728083209014,-63.2842478264143,22128.0139583331
47,2900129.0,187.0,8.0,92.4404418999256,-63.8646649784052,22394.654398143302
48,2900129.0,151.0,8.0,95.826611241766,-63.3925412713583,22141.983229160294
49,2900129.0,178.0,1.0,91.512,-64.016,22331.4357754588
50,2900129.0,179.0,1.0,91.82,-63.888,22338.450104147203
51,2900129.0,181.0,1.0,92.029,-63.927,22352.4838426113
52,2900129.0,182.0,1.0,92.328,-63.98,22359.5247917175
53,2900129.0,183.0,1.0,92.664,-63.81,22366.5516319871
54,2900129.0,184.0,1.0,92.755,-63.756,22373.5706597567
55,2900129.0,185.0,1.0,92.84,-63.799,22380.6069096923
56,2900129.0,186.0,8.0,92.6395808083003,-63.8319376926472,22387.6531597376
57,2900129.0,102.0,8.0,108.789333675332,-63.6283315601218,21798.778576433702
58,2900129.0,188.0,8.0,92.241840253815,-63.897303968331,22401.6367477179
59,2900129.0,189.0,8.0,92.0427734405295,-63.9300194056933,22408.635451436003
60,2900129.0,190.0,8.0,91.8441517162974,-63.9626616953379,22415.6185069084
61,2900129.0,191.0,8.0,91.6450700889736,-63.9953795672986,22422.617731452003
62,2900129.0,192.0,8.0,91.4466554323499,-64.0279878266232,22429.5935069323
63,2900129.0,193.0,8.0,91.247634051258,-64.0606957974769,22436.5906133652
64,2900129.0,194.0,8.0,91.0491390668889,-64.0933172581849,22443.5692129731
65,2900129.0,195.0,8.0,90.8500732419955,-64.1260325331108,22450.567881941803
66,2900129.0,196.0,8.0,90.65182582224,-64.1586133080587,22457.537777781497
67,2900129.0,197.0,8.0,90.4527520952857,-64.1913298816411,22464.5367245674
68,2900129.0,198.0,8.0,90.2544595756235,-64.2239180684882,22471.5082060099
69,2900129.0,225.0,1.0,84.875,-65.108,22660.6368865371
70,2900129.0,177.0,1.0,91.648,-64.076,22324.4388541579
71,2900129.0,176.0,1.0,92.234,-64.106,22317.4188078642
72,2900129.0,175.0,1.0,92.442,-64.27,22310.4171990752
73,2900129.0,174.0,1.0,93.315,-64.371,22303.403449088302
74,2900129.0,152.0,8.0,95.7034187679725,-63.4467293121959,22148.973194420298
75,2900129.0,153.0,8.0,95.5801722383981,-63.5009411302722,22155.966226816203
76,2900129.0,154.0,8.0,95.4572051658143,-63.5550300250371,22162.943402767203
77,2900129.0,155.0,8.0,95.3339600627956,-63.6092412156217,22169.936354219903
78,2900129.0,156.0,8.0,95.2111306802437,-63.6632695453793,22176.9057176113
79,2900129.0,157.0,8.0,95.0878939422256,-63.717477056494,22183.8981944323
80,2900129.0,158.0,8.0,94.9646892292492,-63.7716704809181,22190.888854146
81,2900129.0,159.0,8.0,94.8413929267119,-63.825904192372,22197.884710669503
82,2900129.0,160.0,8.0,94.7184136170454,-63.8799984697996,22204.862580955
83,2900129.0,161.0,8.0,94.5934105823019,-63.9349829127848,22211.9552778006
84,2900129.0,150.0,8.0,95.9498853097671,-63.3383173400957,22134.988634228703
85,2900129.0,162.0,8.0,94.4704855311622,-63.9890533237928,22218.9300694466
86,2900129.0,164.0,8.0,94.2240481591947,-64.097452465111,22232.9129745364
87,2900129.0,165.0,8.0,94.0995240795974,-64.1522262325555,22239.9084954262
88,2900129.0,166.0,1.0,93.975,-64.207,22247.0440162085
89,2900129.0,167.0,8.0,93.9619298308712,-64.3683663188588,22254.182083338503
90,2900129.0,168.0,1.0,93.949,-64.528,22261.2435069382
91,2900129.0,169.0,8.0,93.7882470367144,-64.5041847461799,22268.2648147941
92,2900129.0,170.0,1.0,93.625,-64.48,22275.395057857
93,2900129.0,171.0,1.0,93.866,-64.351,22282.412071764506
94,2900129.0,172.0,1.0,93.947,-64.357,22289.4041435122
95,2900129.0,173.0,1.0,93.727,-64.4,22296.4154513776
96,2900129.0,163.0,8.0,94.3471341538718,-64.0433112606956,22225.9290509224
97,2900129.0,101.0,8.0,108.962342758893,-63.6735172418234,21791.8062963486
98,2900129.0,63.0,1.0,113.8,-64.381,21525.6316667199
99,2900129.0,99.0,8.0,109.309373010851,-63.764152936684,21777.8209490776
100,2900129.0,27.0,1.0,120.345,-64.629,21273.038043983302
101,2900129.0,28.0,1.0,120.036,-64.627,21280.0218865741
102,2900129.0,29.0,1.0,119.945,-64.555,21287.0526388921
103,2900129.0,30.0,1.0,119.84,-64.631,21294.0715509281
104,2900129.0,31.0,1.0,120.034,-64.579,21301.077696763
105,2900129.0,32.0,1.0,120.082,-64.593,21308.084641210706
106,2900129.0,33.0,8.0,120.041862616633,-64.5450358268759,21315.098414354
107,2900129.0,34.0,8.0,120.001831009552,-64.4971980564145,21322.0937037095
108,2900129.0,35.0,8.0,119.961916902334,-64.4495006982893,21329.068460650706
109,2900129.0,36.0,8.0,119.92189768109,-64.4016777289031,21336.0615856536
110,2900129.0,37.0,1.0,119.882,-64.354,21343.0334722251
111,2900129.0,38.0,1.0,119.908,-64.308,21350.2147569358
112,2900129.0,39.0,8.0,119.692364395552,-64.275385296829,21357.345914363897
113,2900129.0,40.0,8.0,119.48090723602,-64.2434025799248,21364.3388889134
114,2900129.0,41.0,8.0,119.27018329199,-64.2115307612464,21371.3076157272
115,2900129.0,42.0,8.0,119.058944172465,-64.179581022709,21378.2933796048
116,2900129.0,43.0,8.0,118.847485262849,-64.1475980411061,21385.286412030506
117,2900129.0,44.0,8.0,118.636447033008,-64.115678686964,21392.2655324042
118,2900129.0,45.0,8.0,118.424970624318,-64.0836930586409,21399.259143531297
119,2900129.0,46.0,8.0,118.213927495676,-64.0517729635593,21406.238425910506
120,2900129.0,47.0,8.0,118.002480135554,-64.0197917288076,21413.2310763896
121,2900129.0,26.0,1.0,120.352,-64.446,21266.0187615752
122,2900129.0,48.0,8.0,117.791421257024,-63.9878692515688,21420.210879623897
123,2900129.0,24.0,1.0,120.044,-63.842,21251.9882059693
124,2900129.0,22.0,1.0,119.423,-63.905,21237.843912065
125,2900129.0,1.0,8.0,119.58,-65.03,21091.149699077
126,2900129.0,2.0,8.0,119.506701449288,-64.9452773027857,21098.0928125009
127,2900129.0,3.0,8.0,119.433408274824,-64.8605608197491,21105.0354166664
128,2900129.0,4.0,8.0,119.360052296307,-64.775771744162,21111.9839698672
129,2900129.0,5.0,8.0,119.286637177959,-64.6909143113444,21118.938125014294
130,2900129.0,6.0,8.0,119.213221083021,-64.6060557497266,21125.8923726678
131,2900129.0,7.0,8.0,119.13980291031,-64.521194786498,21132.8468171358
132,2900129.0,8.0,8.0,119.066222960682,-64.4361468321685,21139.8165857196
133,2900129.0,9.0,8.0,118.992668426973,-64.3511282550268,21146.7839468122
134,2900129.0,10.0,8.0,118.91883811628,-64.2657909189222,21153.7774305344
135,2900129.0,11.0,8.0,118.845312662599,-64.1808059541543,21160.742037057906
136,2900129.0,12.0,8.0,118.771490538409,-64.0954780804837,21167.7347453237
137,2900129.0,13.0,8.0,118.697883096346,-64.0103983488099,21174.707118094
138,2900129.0,14.0,1.0,118.624,-63.925,21181.705601871003
139,2900129.0,15.0,1.0,118.78,-63.735,21188.839120388
140,2900129.0,16.0,1.0,119.206,-63.783,21195.821388900305
141,2900129.0,17.0,1.0,119.328,-63.934,21202.8307291865
142,2900129.0,18.0,1.0,118.62,-63.821,21209.829895854
143,2900129.0,19.0,1.0,118.284,-63.584,21216.843043983
144,2900129.0,20.0,1.0,119.549,-63.477,21223.8349189758
145,2900129.0,21.0,1.0,119.219,-63.835,21230.8352893591
146,2900129.0,23.0,1.0,120.461,-63.843,21244.937060236894
147,2900129.0,100.0,8.0,109.135897518183,-63.7188454404915,21784.8120254874
148,2900129.0,49.0,8.0,117.579983346655,-63.9558894460843,21427.2032175958
149,2900129.0,51.0,8.0,117.157241219721,-63.8919500561901,21441.183472231
150,2900129.0,78.0,1.0,113.275,-64.796,21630.8828935027
151,2900129.0,79.0,1.0,113.272,-64.703,21637.9433796406
152,2900129.0,80.0,1.0,113.152,-64.734,21644.991122663
153,2900129.0,81.0,1.0,112.732,-64.728,21652.0233796295
154,2900129.0,82.0,1.0,112.257,-64.534,21659.0313425921
155,2900129.0,83.0,8.0,112.083711473268,-64.488741334673,21666.0148842596
156,2900129.0,84.0,8.0,111.908143174309,-64.4428872493824,21673.0903009325
157,2900129.0,85.0,8.0,111.734566301629,-64.3975532752452,21680.0854629651
158,2900129.0,86.0,8.0,111.561541421944,-64.3523634679879,21687.0583796352
159,2900129.0,87.0,8.0,111.387956507738,-64.3070273936036,21694.0538657419
160,2900129.0,88.0,8.0,111.215046219877,-64.2618675148886,21701.0221643522
161,2900129.0,89.0,8.0,111.041463890305,-64.2165321155464,21708.017546298
162,2900129.0,90.0,8.0,110.868466007412,-64.1713493591816,21714.9893749952
163,2900129.0,91.0,8.0,110.695716262695,-64.1262314103542,21721.9512037039
164,2900129.0,92.0,8.0,110.522239335379,-64.0809235394672,21728.9423379302
165,2900129.0,93.0,8.0,110.348686297668,-64.0355957904327,21735.936539411498
166,2900129.0,94.0,8.0,110.175849821712,-63.9904551895566,21742.9018633962
167,2900129.0,95.0,8.0,110.00286773471,-63.9452765586867,21749.8730555177
168,2900129.0,96.0,8.0,109.829421823932,-63.8999767885505,21756.862939775
169,2900129.0,97.0,8.0,109.656179821268,-63.854730274156,21763.8446065187
170,2900129.0,98.0,8.0,109.482708063128,-63.8094237533295,21770.8355324268
171,2900129.0,77.0,1.0,113.414,-64.698,21623.8850810528
172,2900129.0,50.0,8.0,117.368769775525,-63.9239435717202,21434.1881365776
173,2900129.0,76.0,1.0,113.07,-64.693,21616.8723031878
174,2900129.0,74.0,1.0,113.148,-64.613,21602.8682175875
175,2900129.0,52.0,1.0,116.946,-63.86,21448.169305563
176,2900129.0,53.0,8.0,116.576126082486,-63.8703662600471,21455.2833564878
177,2900129.0,54.0,8.0,116.213652002001,-63.8805251287878,21462.2550810277
